Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
functionalityafterstrokeadult_difficult_past7days_remember_weekday	quality_of_life_and_care		radio	2d.  In the past week, how difficult was it for you to remember the day of the week?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_concentrate	quality_of_life_and_care		radio	2e.  In the past week, how difficult was it for you to concentrate?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_think	quality_of_life_and_care		radio	2f.  In the past week, how difficult was it for you to think quickly?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_problems	quality_of_life_and_care		radio	2g.  In the past week, how difficult was it for you to solve everyday problems?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
mood_820701	quality_of_life_and_care		descriptive	These questions are about how you feel, about changes in your mood and about your ability to control your emotions since your stroke													
functionalityafterstrokeadult_did_past7days_feelsad	quality_of_life_and_care		radio	3a.  In the past week, how often did you feel sad?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_feelnobody_close	quality_of_life_and_care		radio	3b.  In the past week, how often did you feel that there is nobody you are close to?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_feelburden_others	quality_of_life_and_care		radio	3c.  In the past week, how often did you feel that you are a burden to others?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_feelnothing_forward	quality_of_life_and_care		radio	3d.  In the past week, how often did you feel that you have nothing to look forward to?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_blame_mistakes	quality_of_life_and_care		radio	3e.  In the past week, how often did you blame yourself for mistakes that you made?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_enjoythings	quality_of_life_and_care		radio	3f.  In the past week, how often did you enjoy things as much as ever?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_feelnervous	quality_of_life_and_care		radio	3g.  In the past week, how often did you feel quite nervous?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_feelworth_living	quality_of_life_and_care		radio	3h.  In the past week, how often did you feel that life is worth living?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
functionalityafterstrokeadult_did_past7days_smile_laugh	quality_of_life_and_care		radio	3i.  In the past week, how often did you smile and laugh at least once a day?	5, None of the time | 4, A little of the time | 3, Some of the time | 2, Most of the time | 1, All of the time												
conversation_820701	quality_of_life_and_care		descriptive	The following questions are about your ability to communicate with other people, as well as your ability to understand what you read and what you hear in a conversation.													
functionalityafterstrokeadult_difficult_past7days_name_someone	quality_of_life_and_care		radio	4a.  In the past week, how difficult was it to say the name of someone who was in front of you?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_understand_conversation	quality_of_life_and_care		radio	4b.  In the past week, how difficult was it to understand what was being said to you in a conversation?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_replyto_questions	quality_of_life_and_care		radio	4c.  In the past week, how difficult was it to reply to questions?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_name_objects	quality_of_life_and_care		radio	4d.  In the past week, how difficult was it to correctly name objects?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_participatein_conversation	quality_of_life_and_care		radio	4e.  In the past week, how difficult was it to participate in a conversation with a group of people?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_haveconversation_telephone	quality_of_life_and_care		radio	4f.  In the past week, how difficult was it to have a conversation on the telephone?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_callperson_telephone	quality_of_life_and_care		radio	4g.  In the past week, how difficult was it to call another person on the telephone, including selecting the correct phone number and dialing?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
typical_day_820701	quality_of_life_and_care		descriptive	The following questions ask about activities you might do during a typical day.													
functionalityafterstrokeadult_difficult_past2weeks_cut_food	quality_of_life_and_care		radio	5a.  In the past 2 weeks, how difficult was it to cut your food with a knife and fork?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_dresstop_body	quality_of_life_and_care		radio	5b.  In the past 2 weeks, how difficult was it to dress the top part of your body?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_bathe_yourself	quality_of_life_and_care		radio	5c.  In the past 2 weeks, how difficult was it to bathe yourself?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_cliptoenails	quality_of_life_and_care		radio	5d.  In the past 2 weeks, how difficult was it to clip your toenails?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_toileton_time	quality_of_life_and_care		radio	5e.  In the past 2 weeks, how difficult was it to get to the toilet on time?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_control_bladder	quality_of_life_and_care		radio	5f.  In the past 2 weeks, how difficult was it to control your bladder (not have an accident)?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_control_bowels	quality_of_life_and_care		radio	5g.  In the past 2 weeks, how difficult was it to control your bowels (not have an accident)?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_lightchores_tasks	quality_of_life_and_care		radio	5h.  In the past 2 weeks, how difficult was it to do light household tasks/chores (e.g., dust, make a bed, take out garbage, do the dishes)?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_go_shopping	quality_of_life_and_care		radio	5i.  In the past 2 weeks, how difficult was it to go shopping?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
functionalityafterstrokeadult_difficult_past2weeks_heavy_chores	quality_of_life_and_care		radio	5j.  In the past 2 weeks, how difficult was it to do heavy household chores (e.g., vacuum, laundry or yard work)?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
community_820701	quality_of_life_and_care		descriptive	The following questions are about your ability to be mobile at home and in the community.													
functionalityafterstrokeadult_difficult_past2weeks_stay_sitting	quality_of_life_and_care		radio	6a.  In the past 2 weeks, how difficult was it to stay sitting without losing your balance?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Could not do at all												
